DaysSinceRecentOrder,Nb Orders,Amount Orders,Avg Amount Orders,Max Amount Orders,Nb items,Avg Nb items,Avg item amount,Max item amount,PayMeth_Bancontact,PayMeth_Card,PayMeth_Ideal,PayMeth_Klarna,PayMeth_Other,PayMeth_Pay Later,PayMeth_shopify payments,Always Discount,Always Free Shipping,Never Discount,Never Free Shipping,Max Discount Percentage,Same SKU more than once,Email Marketing Consent,Accepts Marketing,click,open,Days since First Active,Days since Last Active,Days since Profile Created On,Days since Date Added,Recent City_amersfoort,Recent City_amsterdam,Recent City_breda,Recent City_den haag,Recent City_eindhoven,Recent City_groningen,Recent City_haarlem,Recent City_rotterdam,Recent City_utrecht,Recent City_zwolle,dbscan_cluster
377,1,230.43,76.81,76.81,3,1.0,26.95,27.95,0,0,1,0,0,0,0,1,1,0,0,0.05,0,0,0,0,1,410,4,410,1,False,False,False,False,False,False,False,False,False,False,0
387,1,32.95,32.95,32.95,1,1.0,32.95,32.95,0,0,1,0,0,0,0,0,1,1,0,0.0,0,0,0,0,1,991,387,893,1,False,False,False,False,False,False,False,False,False,False,7
387,3,381.67,76.33,89.87,8,2.0,27.42,33.36,0,0,1,0,0,0,0,0,1,0,0,0.23,1,1,0,1,1,904,-3,893,1,False,False,False,False,False,False,False,False,False,False,26
199,2,226.38,75.46,87.24,6,2.0,23.95,25.95,0,0,0,0,0,0,1,0,1,0,0,0.05,1,0,0,1,1,290,172,290,1,False,False,False,False,False,False,False,False,False,False,27
377,1,26.95,26.95,26.95,1,1.0,26.95,26.95,0,0,1,0,0,0,0,0,1,1,0,0.0,0,1,0,0,1,433,0,433,1,False,False,False,False,False,False,False,False,False,False,7
387,3,839.46,93.27,93.43,11,1.0,27.15,36.65,0,0,1,0,0,1,0,1,1,0,0,0.1,1,1,0,1,1,603,55,603,1,False,False,False,False,False,False,False,False,False,False,28
126,1,161.76,80.88,80.88,3,2.0,29.95,29.95,0,0,0,0,0,0,1,1,1,0,0,0.11,0,2,0,1,1,126,2,126,1,False,False,False,False,False,False,False,False,False,False,16
387,2,52.63,26.32,27.87,2,1.0,30.15,30.42,0,0,1,0,0,0,0,1,1,0,0,0.21,0,0,0,1,1,673,387,673,1,False,False,False,False,False,False,False,False,False,False,4
306,1,213.92,213.92,213.92,7,7.0,33.95,33.95,0,0,0,0,0,0,1,1,1,0,0,0.11,0,0,0,0,1,306,41,306,1,False,False,False,False,False,False,False,False,False,False,-1
387,1,91.06,45.53,45.53,2,1.0,27.46,27.95,0,0,0,0,0,1,0,1,1,0,0,0.21,0,0,0,1,1,840,387,840,1,False,False,False,False,False,False,False,False,False,False,2
4,2,331.56,66.31,78.18,5,1.0,28.15,30.95,0,0,0,0,0,0,1,1,1,0,0,0.11,1,1,1,1,1,54,-2,54,1,False,False,False,False,False,False,False,False,False,False,29
387,1,53.9,53.9,53.9,2,2.0,26.95,26.95,0,0,1,0,0,0,0,0,1,1,0,0.0,0,0,0,1,1,558,91,557,1,False,False,False,False,False,False,False,False,True,False,30
